i,but,or,my,going,me,i'm,go,take,i've,look,i'll,without,lead,move,run,i'd,taking,action,fear,walk,goes,unless,rather,bringing,drive,enemy,myself,follow,carry,terrible,moved,loss,however,mine,afraid,nor,although,except,greed,tragedy,hate,driven,disappointed,anger,lies,weak,sorry,arrived,lie,carrying,followed,abandon,crazy,flew,jerk,lonely,hated,arrive,hates,suspicious,besides,inadequate,worthless,arrives,vain,dumb,lied,agony,ignorant,fled,despise,inferior,boring,dislike,anguish,Total Count
0.10606060606060606,0.2878787878787879,0.2619047619047619,0.16981132075471697,0.12280701754385964,0.1935483870967742,0.030303030303030304,0.22580645161290322,0.1111111111111111,0.21739130434782608,0.08333333333333333,0.0,0.2727272727272727,0.25,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20997920997921
0.25252525252525254,0.3787878787878788,0.2857142857142857,0.11320754716981132,0.2807017543859649,0.7096774193548387,0.30303030303030304,0.6451612903225806,0.05555555555555555,0.0,0.375,0.17647058823529413,0.09090909090909091,0.0,0.2857142857142857,0.14285714285714285,0.05555555555555555,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3804573804573805
0.45454545454545453,0.6212121212121212,0.40476190476190477,0.5849056603773585,0.14035087719298245,0.4838709677419355,0.06060606060606061,0.16129032258064516,0.3333333333333333,0.043478260869565216,0.125,0.11764705882352941,0.5454545454545454,0.375,0.0,0.14285714285714285,0.0,0.0,0.1,0.0,0.0,0.14285714285714285,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4885654885654886
0.030303030303030304,0.10606060606060606,0.11904761904761904,0.09433962264150944,0.0,0.03225806451612903,0.0,0.03225806451612903,0.05555555555555555,0.0,0.0,0.0,0.09090909090909091,0.125,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056133056133056136
0.050505050505050504,0.10606060606060606,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.09090909090909091,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04158004158004158
0.5252525252525253,0.6212121212121212,0.4523809523809524,0.16981132075471697,0.17543859649122806,0.6774193548387096,0.0,0.22580645161290322,0.3333333333333333,0.043478260869565216,0.125,0.11764705882352941,0.18181818181818182,0.125,0.2857142857142857,0.42857142857142855,0.1111111111111111,0.2857142857142857,0.0,0.2,0.0,0.14285714285714285,0.8333333333333334,0.0,0.16666666666666666,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072765072765073
0.8434343434343434,1.0,0.8809523809523809,0.4339622641509434,0.5263157894736842,1.0,0.09090909090909091,0.3870967741935484,0.6666666666666666,0.43478260869565216,0.20833333333333334,0.11764705882352941,0.5454545454545454,0.375,0.2857142857142857,0.5714285714285714,0.2777777777777778,0.42857142857142855,0.2,0.2,0.0,0.5714285714285714,1.0,0.0,0.16666666666666666,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.920997920997921
0.4292929292929293,0.6060606060606061,0.42857142857142855,0.2641509433962264,0.10526315789473684,0.3870967741935484,0.06060606060606061,0.22580645161290322,0.6111111111111112,0.043478260869565216,0.16666666666666666,0.0,1.0,0.0,0.5714285714285714,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.2,0.4,0.5714285714285714,0.14285714285714285,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864864864864865
0.2474747474747475,0.2878787878787879,0.2619047619047619,0.018867924528301886,0.14035087719298245,0.16129032258064516,0.12121212121212122,0.25806451612903225,0.3888888888888889,0.0,0.08333333333333333,0.0,0.36363636363636365,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577962577962578
0.7323232323232324,0.8636363636363636,0.6666666666666666,0.39622641509433965,0.6842105263157895,0.7741935483870968,0.8484848484848485,0.5483870967741935,0.3333333333333333,0.391304347826087,0.041666666666666664,0.23529411764705882,0.18181818181818182,0.0,0.2857142857142857,1.0,0.16666666666666666,0.14285714285714285,0.1,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8295218295218295
