ABN,ABX,AP,AT,BE,BED,BEDZ,BEG,BEM,BEN,BER,BEZ,CC,CD,CS,DO,DOD,DOZ,DT,DTI,DTS,EX,HV,HVD,HVG,HVZ,IN,JJ,JJR,JJS,JJT,MD,NIL,NN,NN$,NNS,NP,NP$,NPS,NR,OD,PN,PP$,PPLS,PPO,PPS,PPSS,QL,QLP,RB,RBR,RN,RP,TO,UH,VB,VBD,VBG,VBN,VBZ,WDT,WP$,WPS,WQL,WRB
0.0021049,0.0003827,0.00975885,0.0765405,0.0034443000000000004,0.00057405,0.0034443000000000004,0.00057405,0.0,0.0017222000000000001,0.0036356500000000003,0.00612325,0.0430536,0.009567499999999998,0.017030299999999998,0.0024876,0.00057405,0.0007654,0.005549200000000001,0.00133945,0.0019134999999999998,0.00019135,0.0059318999999999995,0.00095675,0.0,0.0034443000000000004,0.09031860000000004,0.03597394999999999,0.00057405,0.0,0.0019135,0.0164562,0.0,0.09318775000000025,0.0007654,0.03960954999999998,0.007462750000000001,0.00133945,0.0017222000000000001,0.0034443499999999997,0.0011481,0.0019134999999999998,0.0200919,0.00057405,0.00420975,0.00382705,0.027746049999999998,0.006697299999999999,0.0,0.019709249999999994,0.00133945,0.0,0.0057406,0.021814,0.0,0.04133179999999999,0.0057405,0.008228099999999999,0.0038269999999999997,0.0015308000000000001,0.0045924,0.0007654,0.0065060000000000005,0.00019135,0.00306165
0.00332069,0.0,0.010673549999999999,0.0685479,0.0059298,0.0014231,0.0033207,0.00023719,0.0,0.00094877,0.00474379,0.0099621,0.0405601,0.013045509999999998,0.023719170000000008,0.0094877,0.00166029,0.00118596,0.012096790000000001,0.0026090799999999997,0.00118595,0.00166038,0.0085389,0.0021347,0.0,0.0021347,0.08491358999999998,0.02063548000000002,0.00047438,0.0,0.00142314,0.01660336,0.0,0.08799760999999989,0.0,0.03913652000000001,0.00332062,0.00047438,0.00118596,0.00355784,0.00142319,0.0035578600000000004,0.01328265,0.00023719,0.021109979999999997,0.006641339999999999,0.05431701000000001,0.00403229,0.0,0.024193520000000013,0.00284638,0.0,0.010436419999999998,0.023482,0.00023719,0.054553730000000036,0.008538829999999999,0.00948767,0.00545547,0.00237191,0.0116223,0.0,0.00735298,0.00071157,0.00782727
0.0053742,0.00039809,0.007364610000000001,0.0668782,0.0047771,0.00039809,0.00278664,0.00059713,0.0019904,0.00059713,0.0063694,0.0093551,0.0445856,0.004976130000000001,0.018909200000000004,0.0073646,0.00099522,0.0007961699999999999,0.013136990000000001,0.00079618,0.00179139,0.00179144,0.006966590000000001,0.00079618,0.0,0.0045780000000000005,0.08041434999999998,0.02766708000000002,0.00119426,0.0,0.0007961699999999999,0.018710180000000003,0.0,0.08479303999999988,0.00019904,0.030851850000000024,0.013336049999999999,0.0,0.0025875299999999998,0.00417992,0.0007961699999999999,0.0019904299999999996,0.02726927,0.00039809,0.02010338,0.01413216,0.04498400999999998,0.00537416,0.00039809,0.031648030000000014,0.0021894899999999997,0.0,0.006568489999999999,0.016919,0.00019904,0.040804069999999956,0.008160770000000001,0.008359890000000002,0.00557321,0.00298564,0.00477708,0.0,0.00617044,0.00019904,0.00696648
0.0028805,0.0019203,0.00576093,0.07249157999999999,0.0033604999999999998,0.0014402000000000002,0.0024004,0.0,0.0,0.0014402000000000002,0.0043207,0.0072012,0.0436869,0.00384058,0.019683190000000003,0.0019203,0.0,0.0,0.012482080000000001,0.00048008,0.0038405799999999997,0.0019203,0.0033604999999999998,0.0014402000000000002,0.0,0.0052807999999999996,0.10177580999999994,0.042246640000000016,0.00096016,0.0,0.0,0.019683200000000005,0.0,0.08833421999999992,0.00048008,0.025924110000000004,0.00528086,0.0019203,0.0028804300000000002,0.00336053,0.00432068,0.00144023,0.023524,0.00048008,0.00336053,0.00432065,0.020643240000000004,0.0057608600000000005,0.0,0.01776281000000001,0.00096016,0.0,0.00528086,0.018243000000000002,0.0,0.02640422000000001,0.00288048,0.00240039,0.00336055,0.00096015,0.0024003600000000003,0.00048008,0.0067209999999999995,0.0,0.00432073
0.0,0.0,0.006579000000000001,0.08114,0.0032895000000000003,0.0010965,0.0032895000000000003,0.0,0.002193,0.0032895000000000003,0.004386,0.0065789,0.037280400000000005,0.0,0.0186405,0.0010965,0.0,0.002193,0.010965,0.0010965,0.002193,0.0010965,0.002193,0.0010965,0.0,0.004386,0.1107456,0.0471489,0.0,0.0,0.0,0.012061500000000001,0.0,0.08881590000000002,0.0010965,0.023026500000000002,0.0131579,0.002193,0.0,0.0032895,0.0,0.002193,0.020833400000000002,0.0,0.0054825,0.0131579,0.013158000000000001,0.004386,0.0,0.024123000000000002,0.0010965,0.0,0.0010965,0.012061,0.0,0.0186405,0.0032895,0.002193,0.006579000000000001,0.0010965,0.004386,0.0,0.004386,0.0,0.007675500000000001
0.00583125,0.0015550000000000002,0.011014679999999999,0.07114169999999999,0.0073863,0.0011663,0.00064792,0.0,0.00038875,0.0010367,0.0032396,0.0073863,0.036931000000000005,0.008552520000000001,0.029415579999999993,0.0051834,0.00142545,0.00103667,0.01580954,0.0033692,0.0027213000000000003,0.00155497,0.0067384,0.00038875,0.00025917,0.0024621,0.09472529000000003,0.03252548,0.00194375,0.0,0.00129583,0.0226772,0.0,0.09394847000000014,0.0007775,0.03848635,0.00336911,0.00051834,0.0027212900000000003,0.0045354,0.00129584,0.002591659999999999,0.01879022,0.00064792,0.014383960000000001,0.006090470000000001,0.04392966,0.005053740000000001,0.00038875,0.02228839,0.00362834,0.0,0.0028507999999999997,0.027472000000000003,0.00051834,0.04924188,0.00168457,0.00842293,0.0037579199999999992,0.00142541,0.00323955,0.0,0.007775,0.0,0.00233252
0.00541722,0.00090287,0.012113389999999998,0.07456190000000001,0.0065458,0.00097811,0.001203839,0.00015048,0.00045143,0.0014295,0.004890539,0.007824839,0.0390486,0.008652506,0.026183049999999996,0.00443905,0.00097811,0.00060191,0.014596349999999998,0.0024828999999999997,0.0026333,0.0015800599999999999,0.0070725,0.00052667,0.00045143,0.0026334,0.09502648400000005,0.033556606999999995,0.001956209,0.0,0.0011285879999999998,0.019336378,0.0,0.09367261300000003,0.00052667,0.03882317699999997,0.0037620389999999996,0.00045143,0.00263335,0.00398763,0.001128589,0.0026333759999999998,0.018733959999999997,0.00082762,0.01422004,0.0066962589999999995,0.04228480899999999,0.005191497999999999,0.00052667,0.024979390000000014,0.002859068,0.0,0.004439089,0.027913999999999998,0.00030096,0.045669895000000016,0.003987688,0.009480162000000002,0.004062926,0.00165528,0.00383716,7.5239e-05,0.008727639,0.00067715,0.00338576
0.00650606,0.00072289,0.011084259999999997,0.0591571,0.0054217,0.0015663,0.0021687,0.00024096,0.00048193,0.0010843,0.00530118,0.0054217,0.036627,0.007228950000000001,0.017108369999999994,0.0051807,0.00060241,0.00096386,0.011807219999999998,0.0018071900000000002,0.0044578000000000005,0.0020481500000000003,0.00530118,0.0013253,0.00036145,0.0027711,0.08349393000000006,0.027349329999999956,0.0024096300000000003,0.0,0.00156623,0.02048197,0.0,0.09228874000000016,0.0007229,0.042530059999999925,0.0048192800000000004,0.00036144,0.0028915200000000003,0.00289157,0.0014457799999999998,0.0037349500000000008,0.024216889999999998,0.00024096,0.017710919999999998,0.007349400000000001,0.04120512999999999,0.005662650000000001,0.00024096,0.022891389999999977,0.00228914,0.0,0.005662550000000001,0.026386,0.00012048,0.05493946999999991,0.006024090000000001,0.005301190000000002,0.003734930000000001,0.0019276900000000001,0.00337353,0.00060241,0.01036138,0.00012048,0.00469883
0.0043942,0.0010462,0.013391849999999999,0.07135420000000002,0.004185,0.0012554999999999999,0.0039756999999999995,0.00020925,0.0004185,0.0023017,0.0048127,0.00878845,0.035363399999999996,0.00753285,0.02531934999999999,0.008997699999999999,0.00125545,0.0006277499999999999,0.0161121,0.0035572,0.0029295,0.0027202500000000004,0.01276425,0.0031386999999999995,0.0004185,0.0018832,0.09395289999999999,0.02176189999999999,0.0016740000000000001,0.0,0.00020925,0.016530549999999998,0.0,0.09499839999999982,0.0004185,0.03578140000000001,0.0039756999999999995,0.0,0.0020924999999999997,0.00334795,0.00209245,0.0039756999999999995,0.01067165,0.0006277499999999999,0.0150658,0.00774215,0.04603415,0.006277499999999999,0.0,0.03034075,0.0020924999999999997,0.0,0.004812749999999999,0.023645,0.000837,0.04352370000000003,0.006695949999999999,0.007323699999999998,0.0029295,0.0025109999999999998,0.0096255,0.0,0.008160649999999998,0.0,0.0069051
0.00494396,0.00043946,0.009668279999999998,0.0650406,0.0061525,0.0010987,0.0023071999999999997,0.0006592000000000001,0.00043946,0.0017579,0.008349829999999999,0.00856957,0.0349376,0.0086794,0.028015930000000005,0.008899200000000001,0.0008789300000000001,0.00054933,0.01340363,0.0038454,0.0027466,0.0032960000000000003,0.012744869999999998,0.0024171,0.00043946,0.0020875,0.08734347999999997,0.02867514000000002,0.0016479900000000002,0.0,0.00043946999999999996,0.01878701,0.0,0.08283925999999997,0.0003296,0.030652780000000022,0.0027466500000000007,0.0,0.00054933,0.00153812,0.0020875000000000004,0.005273560000000001,0.013843069999999997,0.0,0.01549113,0.0065918899999999996,0.054493790000000014,0.00736098,0.00021973,0.029553970000000013,0.00120853,0.0,0.00747091,0.025379,0.0006592000000000001,0.048341179999999984,0.006152539999999998,0.011316249999999995,0.004174970000000002,0.00252697,0.005493270000000001,0.0,0.0083498,0.00098879,0.0045045300000000005
